striker,total_matches,total_runs_x,balls_faced,not_outs_as_striker,not_outs_as_non_striker,total_not_outs,total_runs_y,dismissed,average,strike_rate,centuries,half_centuries,thirties,0s,1s,2s,3s,4s,6s
Ahmed Daniyal,4.0,11.0,22.0,0.0,3.0,3.0,11.0,1.0,11.0,50.0,0.0,0.0,0.0,15.0,5.0,1.0,0.0,1.0,0.0
Ahmed Faiz,29.0,786.0,620.0,2.0,3.0,5.0,786.0,24.0,32.75,126.77,1.0,4.0,5.0,243.0,235.0,46.0,1.0,57.0,38.0
Ahmed Faiz Mohammad Noor,18.0,397.0,351.0,0.0,1.0,1.0,397.0,17.0,23.35,113.11,0.0,1.0,4.0,135.0,147.0,22.0,0.0,38.0,9.0
Ahmed Hassan,18.0,349.0,358.0,1.0,2.0,3.0,349.0,15.0,23.27,97.49,0.0,1.0,3.0,184.0,113.0,16.0,4.0,27.0,14.0
Ahmed Raza,18.0,115.0,145.0,6.0,2.0,8.0,115.0,10.0,11.5,79.31,0.0,0.0,0.0,76.0,49.0,12.0,0.0,3.0,5.0
Ahmed Safi Abdullah,2.0,9.0,13.0,0.0,2.0,2.0,9.0,0.0,0.0,69.23,0.0,0.0,0.0,8.0,3.0,1.0,0.0,1.0,0.0
Ahmed Shehzad,134.0,3323.0,2929.0,4.0,2.0,6.0,3323.0,128.0,25.96,113.45,1.0,21.0,21.0,1288.0,1014.0,184.0,13.0,339.0,91.0
Ahmed Wardak,3.0,40.0,39.0,0.0,1.0,1.0,40.0,2.0,20.0,102.56,0.0,0.0,0.0,19.0,12.0,3.0,0.0,4.0,1.0
Ahmer Bin Nisar,17.0,329.0,292.0,3.0,3.0,6.0,329.0,11.0,29.91,112.67,0.0,1.0,2.0,113.0,118.0,24.0,1.0,28.0,8.0
Ahsan Abbasi,5.0,63.0,70.0,0.0,0.0,0.0,63.0,5.0,12.6,90.0,0.0,0.0,0.0,38.0,17.0,6.0,2.0,7.0,0.0
Ahsan Ali,20.0,480.0,384.0,0.0,1.0,1.0,480.0,19.0,25.26,125.0,0.0,3.0,5.0,147.0,155.0,15.0,0.0,53.0,13.0
Ahsan Hafeez,2.0,15.0,12.0,0.0,0.0,0.0,15.0,2.0,7.5,125.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,2.0,1.0
Ahsan Khan,3.0,11.0,10.0,0.0,2.0,2.0,11.0,1.0,11.0,110.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,1.0,0.0
Ahsan Malik,7.0,24.0,25.0,1.0,4.0,5.0,24.0,2.0,12.0,96.0,0.0,0.0,0.0,12.0,9.0,1.0,1.0,1.0,1.0
Ahsan ul Haq,2.0,1.0,6.0,0.0,0.0,0.0,1.0,2.0,0.5,16.67,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
Aimal Khan,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Ainool Hafizs,14.0,126.0,134.0,0.0,2.0,2.0,126.0,12.0,10.5,94.03,0.0,0.0,0.0,58.0,57.0,5.0,3.0,8.0,3.0
Ainool Haqqiem,2.0,20.0,21.0,1.0,0.0,1.0,20.0,1.0,20.0,95.24,0.0,0.0,0.0,9.0,7.0,3.0,1.0,1.0,0.0
Aizaz Cheema,1.0,0.0,3.0,0.0,2.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Aizaz Khan,49.0,651.0,635.0,2.0,9.0,11.0,651.0,38.0,17.13,102.52,0.0,0.0,6.0,262.0,250.0,56.0,5.0,49.0,13.0
Akash Babu,3.0,2.0,6.0,0.0,0.0,0.0,2.0,3.0,0.67,33.33,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0
Akash Deep,2.0,17.0,10.0,0.0,0.0,0.0,17.0,2.0,8.5,170.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,1.0
Akbar Ali,9.0,79.0,57.0,1.0,3.0,4.0,79.0,5.0,15.8,138.6,0.0,0.0,1.0,19.0,23.0,6.0,0.0,5.0,4.0
Akbar Khan,4.0,20.0,38.0,0.0,0.0,0.0,20.0,4.0,5.0,52.63,0.0,0.0,0.0,21.0,16.0,0.0,0.0,1.0,0.0
Akbar-ur-Rehman,3.0,15.0,21.0,0.0,0.0,0.0,15.0,3.0,5.0,71.43,0.0,0.0,0.0,11.0,7.0,2.0,0.0,1.0,0.0
Akhil Anil,12.0,146.0,111.0,2.0,1.0,3.0,146.0,9.0,16.22,131.53,0.0,1.0,0.0,48.0,36.0,6.0,0.0,14.0,7.0
Akhil Arjunan,2.0,13.0,18.0,1.0,0.0,1.0,13.0,1.0,13.0,72.22,0.0,0.0,0.0,6.0,11.0,1.0,0.0,0.0,0.0
Akif Javed,3.0,7.0,10.0,1.0,3.0,4.0,7.0,-1.0,0.0,70.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,1.0,0.0
Akif Raja,2.0,11.0,9.0,1.0,1.0,2.0,11.0,0.0,0.0,122.22,0.0,0.0,0.0,2.0,5.0,1.0,0.0,1.0,0.0
Aks Swadhin,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
