bowler,matches,balls,runs_conceded,wickets,economy,average,strike_rate
A Mehmood,2,24,47,1,11.75,47.0,24.0
A Mene-Ejegi,11,254,275,12,6.5,22.916666666666668,21.166666666666668
A Mgijima,14,197,252,13,7.68,19.384615384615383,15.153846153846153
A Mhletywa,1,27,53,1,11.78,53.0,27.0
A Mishra,171,3666,4420,199,7.23,22.21105527638191,18.42211055276382
A Mithun,16,312,477,8,9.17,59.625,39.0
A Mnyaka,9,154,208,9,8.1,23.11111111111111,17.11111111111111
A Mongar,2,19,11,2,3.47,5.5,9.5
A Morris,10,222,225,12,6.08,18.75,18.5
A Myoli,12,172,254,4,8.86,63.5,43.0
A Nanda,17,353,429,14,7.29,30.642857142857142,25.214285714285715
A Nao,8,172,194,7,6.77,27.714285714285715,24.571428571428573
A Nathwani,15,304,367,15,7.24,24.466666666666665,20.266666666666666
A Natubhai Ahir,7,137,132,6,5.78,22.0,22.833333333333332
A Ndlovu,10,193,252,3,7.83,84.0,64.33333333333333
A Nehra,115,2583,3316,160,7.7,20.725,16.14375
A Neill,4,102,125,8,7.35,15.625,12.75
A Nel,3,66,74,3,6.73,24.666666666666668,22.0
A Nortje,85,1959,2547,122,7.8,20.87704918032787,16.057377049180328
A Orfila,4,78,102,2,7.85,51.0,39.0
A Paul,2,48,62,4,7.75,15.5,12.0
A Phillip,18,288,418,11,8.71,38.0,26.181818181818183
A Prashar,4,94,90,5,5.74,18.0,18.8
A Pusthay,3,37,39,4,6.32,9.75,9.25
A Rangaswamy,8,154,156,12,6.08,13.0,12.833333333333334
A Reyes,12,148,177,14,7.18,12.642857142857142,10.571428571428571
A Sawyer,1,6,12,0,12.0,,
A Shahzad,24,534,700,30,7.87,23.333333333333332,17.8
A Sheikh,8,153,190,7,7.45,27.142857142857142,21.857142857142858
A Shukla,17,344,459,16,8.01,28.6875,21.5
A Simelane,4,40,59,2,8.85,29.5,20.0
A Singh,23,486,639,31,7.89,20.612903225806452,15.67741935483871
A Symonds,42,730,975,33,8.01,29.545454545454547,22.12121212121212
A Trivedi,1,6,15,0,15.0,,
A Turay,4,73,79,9,6.49,8.777777777777779,8.11111111111111
A Turkmen,7,164,159,8,5.82,19.875,20.5
A Uniyal,2,38,67,3,10.58,22.333333333333332,12.666666666666666
A Vala,27,382,413,27,6.49,15.296296296296296,14.148148148148149
A Venkatesh,11,199,217,20,6.54,10.85,9.95
A Verma,28,606,832,43,8.24,19.348837209302324,14.093023255813954
A Wright,4,98,78,4,4.78,19.5,24.5
A Yon,3,51,52,10,6.12,5.2,5.1
A Zampa,224,4905,6073,266,7.43,22.830827067669173,18.43984962406015
AA Banner,1,12,17,0,8.5,,
AA Chavan,13,255,339,8,7.98,42.375,31.875
AA Gajic,10,208,211,16,6.09,13.1875,13.0
AA Hussein,2,40,55,2,8.25,27.5,20.0
AA Jhunjhunwala,10,88,130,1,8.86,130.0,88.0
AA Kazi,1,13,21,1,9.69,21.0,13.0
AA Noffke,3,71,82,6,6.93,13.666666666666666,11.833333333333334
AAP Atkinson,38,741,1035,56,8.38,18.482142857142858,13.232142857142858
AAP Rivero,6,113,111,3,5.89,37.0,37.666666666666664
AAhan Achar,5,78,77,6,5.92,12.833333333333334,13.0
AB Agarkar,45,883,1259,36,8.55,34.97222222222222,24.52777777777778
AB Dinda,84,1775,2352,99,7.95,23.757575757575758,17.92929292929293
AB Kamara,4,46,44,2,5.74,22.0,23.0
AB McDonald,19,268,392,19,8.78,20.63157894736842,14.105263157894736
AB Mengoumou,2,33,70,1,12.73,70.0,33.0
AC Agar,126,2678,3157,125,7.07,25.256,21.424
